Player_id,Position_Code
228618,LM
237646,RB
237646,RM
224196,LB
224196,CB
224196,LM
237520,CM
237520,CDM
210406,CM
235794,CAM
235794,LW
235794,ST
240243,CAM
240243,LW
240243,ST
267430,CM
267430,CDM
267430,CAM
247103,CB
247103,LB
247103,LM
197781,CAM
197781,LM
197781,CM
191740,CDM
191740,CM
205214,RW
205214,LW
205214,RM
222737,CAM
222737,RM
222737,LM
222737,CM
235537,CM
235537,CDM
255001,CDM
255001,CM
255009,CM
255009,CAM
230481,CAM
230481,RM
230481,CM
268683,CAM
268683,CM
268683,ST
213884,CDM
213884,CM
213884,CAM
226456,CDM
226456,CM
226456,RM
208618,RB
208618,RM
245235,RB
245235,RM
225663,LM
225663,CAM
225663,LW
230183,LB
230183,LM
212091,RB
212091,RM
216435,CM
216435,CDM
229261,CDM
229261,CM
232244,CDM
232244,CM
241508,CAM
241508,CM
225126,CDM
225126,CM
210047,CB
247819,CB
158023,RW
158023,ST
158023,CAM
158023,RM
193352,LB
193352,CB
193352,LM
226162,CAM
226162,LM
226162,RM
226162,CM
176580,ST
176580,CAM
242964,LW
242964,RW
242964,LM
213565,CM
213565,LM
203376,CB
231318,LB
231318,LM
242434,CAM
242434,CM
242434,CDM
223273,CM
223273,CAM
230965,CM
230965,RB
230965,RM
230965,CAM
205157,CDM
205157,CM
240507,CAM
240507,CM
240507,CDM
223154,CDM
223154,CAM
223154,ST
223154,CM
272874,CM
272874,CDM
259583,LB
241509,LB
241509,CM
241509,RB
241509,LM
235152,RB
235152,LB
235152,RM
245138,CM
245138,CAM
252060,CM
252060,CDM
243627,CDM
243627,CM
213991,CDM
213991,CM
213991,CB
240709,RM
240709,RB
240709,RW
234505,CAM
234505,CM
234505,ST
244261,CM
244261,CAM
244261,RM
256675,ST
256675,CAM
256675,LW
236477,CAM
236477,CM
236477,LW
227535,CDM
227535,CM
254579,CDM
254579,CM
254579,CAM
230786,CM
230786,CDM
227813,LB
232711,CM
232711,CDM
241496,RM
241496,RB
225403,RW
225403,CAM
225403,CM
225403,RM
239301,CB
195864,CM
195864,CDM
195864,CAM
214047,CM
214047,CDM
209989,CDM
209989,CM
209989,RB
251573,LB
251573,LM
220659,CDM
220659,CM
220659,CAM
235008,CM
235008,CDM
227647,LB
227647,LM
251294,CM
251294,LM
251294,CAM
211688,LB
211688,LM
229188,ST
229188,CAM
216700,CM
216700,LW
216700,RW
216700,LM
221053,LB
221053,LM
266127,LB
234153,CM
234153,CAM
193198,CB
193198,CDM
229659,CDM
229659,CM
229659,CAM
193082,RM
193082,RB
193082,RW
20801,ST
233029,CM
233029,CDM
233029,CB
237386,CM
237386,CAM
237386,CDM
264330,CM
264330,CDM
211361,CDM
211361,CM
230337,LB
230337,LM
230337,CAM
192318,CM
192318,CAM
192318,RM
192318,CDM
212138,RB
212138,RM
212228,ST
215071,LB
215071,RB
215071,LM
234574,RB
234574,LB
234574,RM
210896,CM
210896,CAM
213516,CAM
213516,LM
213516,RM
213516,CM
251470,CAM
251470,ST
251470,CM
224371,RM
224371,ST
224371,RW
253072,ST
233965,RM
233965,LM
233965,RB
233965,RW
251988,RM
251988,CAM
251988,RW
253149,RB
253149,RM
253149,RW
233731,ST
268889,LB
268889,LM
219553,CAM
219553,CM
216409,RW
216409,RM
236146,CDM
236146,CM
236492,CM
236492,CDM
236492,CAM
235297,CM
235297,CAM
208250,CAM
208250,CM
251530,LB
251530,LM
165153,ST
165153,CAM
224158,CDM
224158,CM
224158,CB
235973,CAM
235973,CM
248872,CM
248872,CDM
272951,CM
272951,CDM
244791,CM
244791,CAM
244791,CDM
232770,CDM
232770,CM
229752,CM
229752,CDM
257186,CDM
257186,CM
243686,CM
243686,CAM
243686,RM
264697,ST
264697,LW
264697,LM
264697,CAM
230142,ST
230142,LM
230142,LW
230767,CM
230767,CDM
245630,CDM
245630,CM
245637,CAM
245637,ST
208268,CM
208268,CDM
208093,ST
208093,RW
208093,CAM
206085,RW
206085,RM
259868,CM
259868,CDM
231340,RB
231340,RM
257771,RB
257771,RM
255742,CM
255742,CAM
209499,CDM
209499,CM
232293,ST
236699,CDM
236699,CM
245155,RW
245155,LW
245155,ST
245155,RM
257191,CDM
257191,CM
257191,CB
236791,CM
236791,CAM
212729,CM
212729,CAM
206591,RB
206591,RM
233556,RM
233556,RW
220837,LB
220837,LM
224294,CDM
224294,RB
224294,RM
236401,RB
236401,CB
236401,RM
202371,RB
202371,RM
213648,CDM
213648,CM
222390,CM
222390,CDM
